product_id,review,category
5013198,하트찜꽁 쫀득한 도가니탕 맛있네요,맛/향/풍미
5013198,국 간은 싱거운데 소금 간 하면 딱이에요,맛/향/풍미
5013198,가격은 음 착하지는 않습니다,가격
5013198,기름 너무 많아서 느끼함,맛/향/풍미
5013198,믿고 먹는 설성 목장이예요,맛/향/풍미
5013198,무 항생제인데 도가니도 꽤 들어 있고,양
5013198,가격 대비 좋네요,가격
5013198,소금과 첨가물 안 들어 있어서 좋아요,맛/향/풍미
5013198,입에 짝 달라붙는 맛,맛/향/풍미
5013198,도가니탕 중 최고입니다,맛/향/풍미
5013198,국물 진하고 맛 잇어요,맛/향/풍미
5013198,맛있어요,맛/향/풍미
5013198,고기 살이 까매요,맛/향/풍미
5013198,도가니보다 부속물이 많고,양
5013198,기름 심해서 버렸다고,맛/향/풍미
5013198,비싸도 제대로 집에서 요리된 듯 맛이라 꾸준하게 주문해요,맛/향/풍미
5013198,도가니탕에 만두국 끓임 최고예요,활용 방법
5013198,국물 맛은 제일 맛있어요,맛/향/풍미
5013198,고기에 기름이 많아요,맛/향/풍미
5013198,그것만 개선되면 자주 이용할 거 같아요,가격
5013198,하나는 멀쩡한데 하나는 누가 일부러 뜯어 놓은 거마냥,포장/배송
5013198,저걸 어떻게 먹어요,포장/배송
5013198,칼로 난도질해 놓은 것도 아니고,포장/배송
5013198,도가니가 양이 적긴한데,양
5013198,파 송송에 후추 넣어서 먹으니 맛나요,맛/향/풍미
5013198,안에 내용물이 많이 들어 있어서 도가니가 많이 들어 있는 줄 알았는데,양
5013198,고기 몇 점과 지방 덩이네요,양
5013198,입이 짧아 지방같이 물컹거리는 부분은 먹지 않는데,맛/향/풍미
5013198,재구매는 하지 않을 듯요,가격
5013198,누린내가 너무 심합니다,맛/향/풍미
5013198,무난했어요,맛/향/풍미
5013198,건더기가 엄청 많다고 느껴지진 않았고,양
5013198,기름은 좀 있지만,맛/향/풍미
5013198,설성 목장 제품 좋아합니다,맛/향/풍미
5013198,첨가물 없이 깔끔해서요,맛/향/풍미
5013198,맛은 어떤 양념도 첨가하지 않은 순수한 탕 맛이라 맘에 들지만,맛/향/풍미
5013198,고기는 많이 우려서인지 맛이 안 느껴지고,맛/향/풍미
5013198,도가니도 조금밖에 안 들어가서 아쉬웠어요,양
5013198,갑자기 묽어졌어요,맛/향/풍미
5013198,진한 맛이 나라 17000원에 한 끼 아깝지 않게 먹었는데,가격
5013198,이렇게 물 탄 맛이면 앞으로는 시킬 이유가 없겠어요,맛/향/풍미
5013198,왜 맛이 묽어졌는지 궁금합니다,맛/향/풍미
5013198,엄마가 제일 좋아하는 도가니탕입니다,맛/향/풍미
5013198,이게 제일 부드럽고 진하면서 맛있다고 하시네요,맛/향/풍미
5013198,가격대가 있어도 이 제품만 구매하게 되요,가격
5013198,설성 목장 도가니탕이 최고입니다,맛/향/풍미
5013198,도가니탕이 제일 맛있다고 하셔서,맛/향/풍미
5013198,주기적으로 보내 드리고 있어요,보관
5013198,홈쇼핑 판매하는 거랑은 비교 불가 입니다,가격
5013198,고기와 도가니가 적당히 들어 있어요,양
5013198,양이 적은 사람은 둘이서 먹어도 부족하지 않아요,양
5013198,입맛 없을 때 좋아요,활용 방법
5013198,고기도 도가니도 많아 넘 좋아요,양
5013198,육수가 맑고 구수하다는 것입니다,맛/향/풍미
5013198,가격이 비싸서 좀 아쉽습니다,가격
5013198,양은 작아도,양
5013198,맛은 좋습니다,맛/향/풍미
5013198,나트륨 낮아 주문해요,맛/향/풍미
